
copd	tobacco
oxidant stress	antioxidant
non-alcoholic fatty liver disease	obesity
uric acid	meat
inflammation	gluten
production	cadmium
arteries	cholesterol
oils	steam
meat	arachidonic acid
cancer growth	exercise
risk	carcinogens
brain damage	mercury
diabetes	insulin resistance
health	obesity
chickens	genetic manipulation
muscle tremors	cooked meat
inflammation	muscle
carcinogens	cooking meat
adverse effects	aspartame
fish	food poisoning
dementia	vitamin b12
carbohydrates	acrylamide
premature puberty	chemical pollutants
mutations	carcinogen
breast cancer	cooked meat
cancers	arsenic
dna damage	radiation
skin cancer	arsenic
pathogens	noroviruses
carcinogens	cooking
pain	inflammation
sexual dysfunction	drugs
irritation	cetuximab
toxicity	broccoli
viruses	manure
ph	short-chain fatty acids
plaque	bacteria
mutations	smoking
dna damage	free radicals
phytonutrients	nutrient synergy
oxidation	metabolism
brains	mercury
