
irritation	chemotherapy
fish intake	brain
lead poisoning	ayurvedic
eggs	diabetes risk
cancer mortality	poultry exposure
refined carbs	pancreatic cancer
iron	diabetes risk
meat intake	infertility
inflammation	depression
meat molecule	inflammation
rosy glow	cardiovascular health
cardiovascular disease	diet soda
fat	prevotella
inflammatory reaction	egg
disorder	gluten intolerance
toxin	alzheimer
death	nut consumption
disability	heart disease
poultry exposure	liver
pain	drugs
stomach cancer	salt intake
