
dump sentences\V-587_7_.txt	x-rays	cat	released by	PART-OF	[VBN, IN]	2
dump sentences\A-141_39_.txt	pollution	seafood	in	PART-OF	[IN]	2
dump sentences\A-57_26_.txt	caffeine	tea	in	PART-OF	[IN]	2
dump sentences\V-358_22_.txt	caffeine	tea	in	PART-OF	[IN]	2
dump sentences\A-83_5_.txt	aluminum	tea	in	PART-OF	[IN]	2
dump sentences\A-85_16_.txt	aluminum	tea	in	PART-OF	[IN]	2
dump sentences\A-84_16_.txt	aluminum	tea	in	PART-OF	[IN]	2
dump sentences\V-382_3_.txt	aluminum	tea	in	PART-OF	[IN]	2
dump sentences\V-383_9_.txt	aluminum	tea	in	PART-OF	[IN]	2
dump sentences\A-84_15_.txt	aluminum	tea	in	PART-OF	[IN]	2
dump sentences\T-1814_13_.txt	aluminum	tea	in	PART-OF	[IN]	2
dump sentences\A-84_17_.txt	aluminum	tea	in	PART-OF	[IN]	2
dump sentences\V-383_8_.txt	aluminum	tea	in	PART-OF	[IN]	2
dump sentences\V-1125_2_.txt	phytonutrients	tea	in	PART-OF	[IN]	2
dump sentences\V-1062_2_.txt	phytonutrients	tea	in	PART-OF	[IN]	2
dump sentences\T-1955_8_.txt	phytonutrients	tea	in	PART-OF	[IN]	2
dump sentences\T-1814_13_.txt	phytonutrients	tea	in	PART-OF	[IN]	2
dump sentences\T-756_8_.txt	phytonutrients	tea	in	PART-OF	[IN]	2
dump sentences\V-1060_16_.txt	antioxidants	tea	in	PART-OF	[IN]	2
dump sentences\V-682_34_.txt	listeria	deli meat	in	PART-OF	[IN]	2
dump sentences\V-698_7_.txt	antibiotic residues	meat	in	PART-OF	[IN]	2
dump sentences\V-20_12_.txt	salt	miso	in	PART-OF	[IN]	2
dump sentences\V-20_14_.txt	salt	miso	in	PART-OF	[IN]	2
dump sentences\A-357_2_.txt	blood	meat	in	PART-OF	[IN]	2
dump sentences\V-13_100_.txt	growth promoters	meat	in	PART-OF	[IN]	2
dump sentences\V-106_7_.txt	growth promoters	meat	in	PART-OF	[IN]	2
dump sentences\V-13_99_.txt	growth promoters	agriculture	in	PART-OF	[IN]	2
dump sentences\V-106_2_.txt	growth promoters	agriculture	in	PART-OF	[IN]	2
dump sentences\V-1070_5_.txt	mrsa	pigs	in	PART-OF	[IN]	2
dump sentences\A-387_45_.txt	disease	pigs	in	PART-OF	[IN]	2
dump sentences\A-423_57_.txt	disease	pigs	in	PART-OF	[IN]	2
dump sentences\V-682_17_.txt	disease	pigs	in	PART-OF	[IN]	2
dump sentences\V-89_19_.txt	insulin sensitivity	pigs	in	PART-OF	[IN]	2
dump sentences\T-1446_3_.txt	plant foods	cancer	in	PART-OF	[IN]	2
dump sentences\V-191_21_.txt	vitamin c	cancer	in	PART-OF	[IN]	2
dump sentences\A-455_23_.txt	vegetables	cancer	in	PART-OF	[IN]	2
dump sentences\V-85_31_.txt	cancer	meat	in	PART-OF	[IN]	2
dump sentences\A-119_25_.txt	cancer	prostate cancer	in	PART-OF	[IN]	2
dump sentences\A-182_24_.txt	cancer	stool size	in	PART-OF	[IN]	2
dump sentences\V-250_14_.txt	cancer	vegetarian	in	PART-OF	[IN]	2
dump sentences\A-321_33_.txt	cancer	bacon	in	PART-OF	[IN]	2
dump sentences\T-1404_0_.txt	peanuts	legume	are part of the	PART-OF	[VBP, NN, IN, DT]	1
dump sentences\V-40_26_.txt	cancer	chickens	in	PART-OF	[IN]	2
dump sentences\T-759_1_.txt	survival	cancer	in	PART-OF	[IN]	2
dump sentences\V-75_18_.txt	antibodies	cancer	in	PART-OF	[IN]	2
dump sentences\A-369_16_.txt	igf-1	liver	is released by our	PART-OF	[VBZ, VBN, IN, PRP$]	1
dump sentences\A-119_25_.txt	cancer	prostate	in	PART-OF	[IN]	2
dump sentences\T-751_2_.txt	aid	cancer	in	PART-OF	[IN]	2
dump sentences\V-139_18_.txt	vinegar	pill	in	PART-OF	[IN]	2
dump sentences\V-69_35_.txt	survival	colorectal cancer	in	PART-OF	[IN]	2
dump sentences\V-844_0_.txt	cancers	chickens	in	PART-OF	[IN]	2
dump sentences\V-1040_22_.txt	cancers	children	in	PART-OF	[IN]	2
dump sentences\V-106_8_.txt	steroid	women	in	PART-OF	[IN]	2
dump sentences\A-279_17_.txt	sexual dysfunction	women	in	PART-OF	[IN]	2
dump sentences\V-109_0_.txt	endometriosis	women	in	PART-OF	[IN]	2
dump sentences\V-582_22_.txt	infertility	women	in	PART-OF	[IN]	2
dump sentences\T-740_1_.txt	infertility	women	in	PART-OF	[IN]	2
dump sentences\A-301_18_.txt	infertility	women	in	PART-OF	[IN]	2
dump sentences\T-1976_3_.txt	testosterone	women	in	PART-OF	[IN]	2
dump sentences\V-69_36_.txt	death	women	in	PART-OF	[IN]	2
dump sentences\T-511_2_.txt	bladder infections	women	in	PART-OF	[IN]	2
dump sentences\T-730_1_.txt	bladder infections	women	in	PART-OF	[IN]	2
dump sentences\V-854_5_.txt	mortality	women	in	PART-OF	[IN]	2
dump sentences\V-532_3_.txt	mortality	women	in	PART-OF	[IN]	2
dump sentences\A-247_3_.txt	mortality	women	in	PART-OF	[IN]	2
dump sentences\V-611_8_.txt	women	pain	in	PART-OF	[IN]	2
dump sentences\A-332_10_.txt	women	pain	in	PART-OF	[IN]	2
dump sentences\T-1976_2_.txt	diabetes	women	in	PART-OF	[IN]	2
dump sentences\V-503_9_.txt	diabetes	women	in	PART-OF	[IN]	2
dump sentences\V-609_4_.txt	flaxseed	women	in	PART-OF	[IN]	2
dump sentences\V-1155_6_.txt	fertility	women	in	PART-OF	[IN]	2
dump sentences\T-275_7_.txt	risk	women	in	PART-OF	[IN]	2
dump sentences\A-167_14_.txt	risk	women	in	PART-OF	[IN]	2
dump sentences\V-414_6_.txt	risk	women	in	PART-OF	[IN]	2
dump sentences\A-118_19_.txt	risk	women	in	PART-OF	[IN]	2
dump sentences\V-416_18_.txt	risk	women	in	PART-OF	[IN]	2
dump sentences\A-488_0_.txt	survival	women	in	PART-OF	[IN]	2
dump sentences\A-373_17_.txt	lifespan	women	in	PART-OF	[IN]	2
dump sentences\V-252_13_.txt	bone fractures	women	in	PART-OF	[IN]	2
dump sentences\V-17_43_.txt	orgasm	women	in	PART-OF	[IN]	2
dump sentences\V-170_19_.txt	hair growth	women	in	PART-OF	[IN]	2
dump sentences\T-511_2_.txt	infections	women	in	PART-OF	[IN]	2
dump sentences\T-730_1_.txt	infections	women	in	PART-OF	[IN]	2
dump sentences\V-846_5_.txt	lymphoma	women	in	PART-OF	[IN]	2
dump sentences\V-612_1_.txt	agent	alcoholic beverages	in	PART-OF	[IN]	2
dump sentences\V-462_12_.txt	drugs	chicken	in	PART-OF	[IN]	2
dump sentences\A-113_20_.txt	drugs	chicken	in	PART-OF	[IN]	2
dump sentences\V-784_11_.txt	protein	whipped cream	in	PART-OF	[IN]	2
dump sentences\A-291_35_.txt	findings	lavender	in	PART-OF	[IN]	2
dump sentences\A-220_23_.txt	findings	eggs	in	PART-OF	[IN]	2
dump sentences\A-423_79_.txt	yersinia	pork	in	PART-OF	[IN]	2
dump sentences\A-199_24_.txt	yersinia	pork	in	PART-OF	[IN]	2
dump sentences\A-387_56_.txt	yersinia	pork	in	PART-OF	[IN]	2
dump sentences\V-682_34_.txt	yersinia	pork	in	PART-OF	[IN]	2
dump sentences\A-2_27_.txt	yersinia	pork	in	PART-OF	[IN]	2
dump sentences\A-357_28_.txt	yersinia	pork	in	PART-OF	[IN]	2
dump sentences\A-231_18_.txt	yersinia	pork	in	PART-OF	[IN]	2
dump sentences\A-231_18_.txt	pork	yersinia	in	PART-OF	[IN]	2
dump sentences\A-189_23_.txt	e. coli	chicken	in	PART-OF	[IN]	2
dump sentences\A-310_7_.txt	e. coli	chicken	in	PART-OF	[IN]	2
dump sentences\V-591_7_.txt	e. coli	chicken	in	PART-OF	[IN]	2
dump sentences\T-1442_1_.txt	contaminants	chicken	in	PART-OF	[IN]	2
dump sentences\A-231_3_.txt	contaminants	chicken	in	PART-OF	[IN]	2
dump sentences\V-517_5_.txt	contaminants	chicken	in	PART-OF	[IN]	2
dump sentences\A-191_20_.txt	heme iron	chicken	in	PART-OF	[IN]	2
dump sentences\T-289_28_.txt	chemicals	chicken	in	PART-OF	[IN]	2
dump sentences\T-290_28_.txt	chemicals	chicken	in	PART-OF	[IN]	2
dump sentences\T-730_0_.txt	contamination	chicken	in	PART-OF	[IN]	2
dump sentences\A-392_9_.txt	fecal bacteria	chicken	in	PART-OF	[IN]	2
dump sentences\A-231_18_.txt	chicken	fecal bacteria	in	PART-OF	[IN]	2
dump sentences\A-240_8_.txt	bacteria	chicken	in	PART-OF	[IN]	2
dump sentences\A-392_9_.txt	bacteria	chicken	in	PART-OF	[IN]	2
dump sentences\V-846_6_.txt	viruses	chicken	in	PART-OF	[IN]	2
dump sentences\T-1208_22_.txt	viruses	chicken	in	PART-OF	[IN]	2
dump sentences\T-437_0_.txt	arsenic	chicken	in	PART-OF	[IN]	2
dump sentences\A-173_27_.txt	arsenic	chicken	in	PART-OF	[IN]	2
dump sentences\A-432_1_.txt	arsenic	chicken	in	PART-OF	[IN]	2
dump sentences\T-1298_0_.txt	arsenic	chicken	in	PART-OF	[IN]	2
dump sentences\A-439_8_.txt	arsenic	chicken	in	PART-OF	[IN]	2
dump sentences\A-240_21_.txt	arsenic	chicken	in	PART-OF	[IN]	2
dump sentences\A-231_20_.txt	salmonella	chicken	in	PART-OF	[IN]	2
dump sentences\A-343_24_.txt	salmonella	chicken	in	PART-OF	[IN]	2
dump sentences\A-290_32_.txt	salmonella	chicken	in	PART-OF	[IN]	2
dump sentences\A-215_32_.txt	salmonella	chicken	in	PART-OF	[IN]	2
dump sentences\A-198_23_.txt	salmonella	chicken	in	PART-OF	[IN]	2
dump sentences\A-2_29_.txt	salmonella	chicken	in	PART-OF	[IN]	2
dump sentences\T-437_10_.txt	allergic reactions	chicken	in	PART-OF	[IN]	2
dump sentences\T-289_28_.txt	neurotoxic chemicals	chicken	in	PART-OF	[IN]	2
dump sentences\T-290_28_.txt	neurotoxic chemicals	chicken	in	PART-OF	[IN]	2
dump sentences\A-113_31_.txt	antibiotics	chicken	in	PART-OF	[IN]	2
dump sentences\T-437_15_.txt	antibiotics	chicken	in	PART-OF	[IN]	2
