
estrogen	steroid
mediterranean diet	diet
myelopathy	syndrome
aging	disease
xenoestrogens	chemicals
phthalates	chemical
high blood pressure	symptom
carrots	roots
lymphoma	cancer
acrylamide	chemical
colic	pain
bean	legume
nitrosamines	carcinogens
organochlorines	chemical
flavonoids	antioxidant
sulforaphane	chemical
melatonin	hormone
lutein	carotenoid
supplements	fish oil
spirulina	blue-green algae
high fructose corn syrup	pro-oxidant
turmeric	plant
vitamin e	vitamin
patulin	mycotoxin
raisins	dried fruit
lead	toxin
sciatica	back pain
bt corn	pesticide
multiple sclerosis	disease
garlic	vegetables
nuts	plant foods
mushrooms	vegetable
dental plaque	bacteria
campylobacter	bacteria
prediabetes	disease
iron	pro-oxidant
hepatitis e	zoonotic disease
statins	drugs
tomatoes	vegetables
tobacco	nightshade
insects	contaminants
cherries	plant
igf-1	growth hormone
hypertension	diseases
fiber	prebiotic
vinegar	product
plant-based diets	low-calorie diets
chickpeas	legume
