meat	carcinogens
killers	diabetes
soyfoods	tofu
exercise	watercress
exercise	heart
stuff	saturated fat
carcinomas	breast cancer
smell	maple
tastes	oatmeal
persistent pollutants	ddt
chicken	skin
drink	water
blood	tears
drink	orange
children	dog
aflatoxin	spinach
vegetables	garlic
women	breast
sunlight	sun
breast cancer	women
nuts	fat burning
cancer	ulcerative colitis
anti-inflammatory drugs	ibuprofen
neurodegenerative diseases	als
nutrition	calories
anti-inflammatory drugs	aspirin
stress hormones	adrenaline
diseases	breast
patients	drugs
gut	probiotics
sour fruit	lemons
persistent pollutants	hexachlorobenzene
diets	preservatives
pigments	zeaxanthin
killers	coronary artery
drug	lipitor
kidneys	drug
drinking	tea
tastes	hibiscus
cancers	breast
food cans	cans
killers	heart
drugs	beta
inflammation	gum
statin drugs	lipitor
tastes	fruit
greens	beat
drug	valium
lifespan	guidelines
women	depression
drug	premarin
formula	dha
diseases	cancer
carotenoids	beta-carotene
killers	heart disease
omega-3s	dha
women	breast cancer
oils	coconut
arteries	drugs
treatment	phytates
carotenoids	lutein
plant-based diet	virus
